Seed,Dataset,Model,HyperOpt params
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0032', 'subsample': '0.9100', 'colsample_bytree': '0.3120', 'max_depth': '9.0000', 'eta': '0.0027', 'scale_pos_weight': '1.0181'}"
0,报告数据,lgbm,"{'learning_rate': '0.0052', 'lambda_l2': '0.0510', 'max_depth': '11.0000', 'bagging_fraction': '0.9403', 'feature_fraction': '0.7508'}"
0,报告数据,lgbm,"{'learning_rate': '0.0076', 'lambda_l2': '2.0143', 'max_depth': '11.0000', 'bagging_fraction': '0.8445', 'feature_fraction': '0.6015'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,xgb,"{'lambda': '0.0001', 'gamma': '0.0320', 'subsample': '0.8224', 'colsample_bytree': '0.4735', 'max_depth': '7.0000', 'eta': '0.0311', 'scale_pos_weight': '1.0240'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.7332', 'colsample_bytree': '0.3047', 'max_depth': '11.0000', 'eta': '0.0010', 'scale_pos_weight': '1.0094'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0468', 'subsample': '0.7480', 'colsample_bytree': '0.6663', 'max_depth': '9.0000', 'eta': '0.0041', 'scale_pos_weight': '1.0070'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0890', 'subsample': '0.7785', 'colsample_bytree': '0.3119', 'max_depth': '11.0000', 'eta': '0.0080', 'scale_pos_weight': '1.0188'}"
0,报告数据,xgb,"{'lambda': '0.8948', 'gamma': '0.0212', 'subsample': '0.7944', 'colsample_bytree': '0.9894', 'max_depth': '11.0000', 'eta': '0.0031', 'scale_pos_weight': '1.0126'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.7924', 'colsample_bytree': '0.6191', 'max_depth': '7.0000', 'eta': '0.0012', 'scale_pos_weight': '1.0106'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0270', 'subsample': '0.8596', 'colsample_bytree': '0.6811', 'max_depth': '11.0000', 'eta': '0.0010', 'scale_pos_weight': '1.0180'}"
0,报告数据,xgb,"{'lambda': '0.8016', 'gamma': '0.0000', 'subsample': '0.9497', 'colsample_bytree': '0.1881', 'max_depth': '11.0000', 'eta': '0.0040', 'scale_pos_weight': '1.0121'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.9500', 'colsample_bytree': '0.5912', 'max_depth': '11.0000', 'eta': '0.0038', 'scale_pos_weight': '1.0689'}"
